Country,Life Expectancy (Years)
Afghanistan,42.7
Albania,76.9
Algeria,72.3
Angola,48.2
Argentina,75.4
Armenia,71.8
Australia,81.5
Austria,79.9
Azerbaijan,70.1
Bahrain,75.2
Bangladesh,67.3
Barbados,74.7
Belarus,68.2
Belgium,79.7
Belize,75.1
Benin,57.3
Bhutan,66.5
Bolivia,65.1
Bosnia and Herzegovina,75.1
Botswana,47.5
Brazil,72.2
Brunei Darussalam,76.8
Bulgaria,73.2
Burkina Faso,54.8
Burundi,48.4
Cambodia,60.2
Cameroon,52.6
Canada,80.8
Cape Verde,72.2
Central African Republic,44.5
Chad,47.4
Chile,78.4
China,73.0
Colombia,73.7
Comoros,60.0
Congo,57.7
Costa Rica,78.4
Croatia,76.9
Cuba,78.6
Cyprus,78.2
Czech Republic,76.4
Democratic People's Republic of Korea,69.0
Democratic Republic of the Congo,50.5
Denmark,78.2
Djibouti,56.5
Dominica,76.4
Dominican Republic,73.3
Ecuador,75.5
Egypt,70.9
El Salvador,69.7
Equatorial Guinea,49.9
Eritrea,58.0
Estonia,72.7
Eswatini,47.2
Ethiopia,52.6
Fiji,67.8
Finland,79.9
France,80.7
Gabon,62.1
Gambia,58.9
Georgia,72.1
Germany,79.8
Ghana,61.2
Greece,79.3
Grenada,70.2
Guatemala,69.3
Guinea,53.8
Guinea-Bissau,47.4
Guyana,65.8
Haiti,60.6
Holy See,NaN
Honduras,70.7
Hungary,73.9
Iceland,81.4
India,64.0
Indonesia,68.0
Iran (Islamic Republic of),72.0
Iraq,68.6
Ireland,79.1
Israel,81.4
Italy,80.5
Jamaica,73.0
Japan,82.0
Jordan,73.4
Kazakhstan,67.6
Kenya,55.4
Kiribati,62.5
Kuwait,74.1
Kyrgyzstan,67.2
Lao People's Democratic Republic,61.2
Latvia,71.0
Lebanon,73.9
Lesotho,44.9
Liberia,42.3
Libya,74.7
Lithuania,70.7
Luxembourg,79.1
Madagascar,61.4
Malawi,48.8
Malaysia,74.4
Maldives,76.0
Mali,48.9
Malta,79.5
Marshall Islands,65.0
Mauritania,59.7
Mauritius,72.1
Mexico,75.0
Micronesia (Federated States of),67.4
Monaco,NaN
Mongolia,65.5
Montenegro,74.2
Morocco,71.6
Mozambique,46.5
Myanmar,62.0
Namibia,50.5
Nauru,NaN
Nepal,66.4
Netherlands,79.7
New Zealand,80.5
Nicaragua,73.2
Niger,54.2
Nigeria,47.4
Niue,NaN
Norway,80.1
Oman,74.7
Pakistan,65.7
Palau,69.8
Panama,76.4
Papua New Guinea,58.2
Paraguay,72.5
Peru,71.5
Philippines,69.5
Poland,75.8
Portugal,78.6
Qatar,76.6
Republic of Korea,79.1
Republic of Moldova,69.1
Romania,72.5
Russian Federation,67.5
Rwanda,52.8
Saint Kitts and Nevis,72.5
Saint Lucia,74.1
Saint Vincent and the Grenadines,72.1
Samoa,72.3
San Marino,NaN
Sao Tome and Principe,64.5
Saudi Arabia,73.4
Senegal,58.2
Serbia,74.2
Seychelles,72.3
Sierra Leone,41.4
Singapore,80.5
Slovakia,73.9
Slovenia,77.5
Solomon Islands,64.4
Somalia,49.7
South Africa,51.4
Spain,80.9
Sri Lanka,74.1
Sudan,58.0
Suriname,70.5
Sweden,80.2
Switzerland,81.7
Syrian Arab Republic,74.8
Tajikistan,64.2
Thailand,72.2
The former Yugoslav republic of Macedonia,74.7
Timor-Leste,59.2
Togo,56.0
Tonga,72.2
Trinidad and Tobago,68.0
Tunisia,74.0
Turkey,72.4
Turkmenistan,64.3
Tuvalu,NaN
Uganda,50.8
Ukraine,67.8
United Arab Emirates,75.8
United Kingdom,79.1
United Republic of Tanzania,56.8
United States of America,78.1
Uruguay,76.2
Uzbekistan,68.1
Vanuatu,64.0
Venezuela (Bolivarian Republic of),74.8
Viet Nam,74.1
Yemen,63.8
Zambia,48.5
Zimbabwe,45.9
