Country,Life Expectancy (Years)
Afghanistan,32.0
Albania,55.6
Algeria,43.9
Angola,30.4
Argentina,60.2
Armenia,61.5
Australia,69.4
Austria,66.5
Azerbaijan,59.8
Bahrain,46.6
Bangladesh,36.4
Barbados,57.1
Belarus,61.8
Belgium,65.9
Belize,60.0
Benin,35.8
Bhutan,36.5
Bolivia,39.6
Bosnia and Herzegovina,52.0
Botswana,36.2
Brazil,50.7
Brunei Darussalam,54.6
Bulgaria,59.5
Burkina Faso,32.5
Burundi,36.2
Cambodia,41.6
Cameroon,36.5
Canada,68.4
Cape Verde,40.8
Central African Republic,33.8
Chad,32.0
Chile,54.3
China,41.0
Colombia,48.3
Comoros,36.2
Congo,40.3
Costa Rica,55.0
Croatia,59.6
Cuba,59.6
Cyprus,62.7
Czech Republic,65.6
Democratic People's Republic of Korea,38.9
Democratic Republic of the Congo,37.2
Denmark,70.8
Djibouti,37.2
Dominica,50.7
Dominican Republic,45.5
Ecuador,48.8
Egypt,41.0
El Salvador,42.0
Equatorial Guinea,33.9
Eritrea,35.1
Estonia,66.5
Eswatini,38.1
Ethiopia,35.4
Fiji,50.9
Finland,64.5
France,64.6
Gabon,36.5
Gambia,32.4
Georgia,59.7
Germany,64.6
Ghana,45.0
Greece,57.6
Grenada,53.2
Guatemala,42.9
Guinea,33.4
Guinea-Bissau,30.2
Guyana,51.8
Haiti,38.4
Honduras,41.1
Hungary,61.5
Iceland,71.5
India,32.1
Indonesia,37.4
Iran (Islamic Republic of),39.1
Iraq,42.3
Ireland,65.8
Israel,64.8
Italy,65.5
Jamaica,52.9
Japan,59.8
Jordan,42.1
Kazakhstan,59.6
Kenya,34.9
Kiribati,40.4
Kuwait,55.4
Kyrgyzstan,55.2
Lao People's Democratic Republic,40.5
Latvia,64.9
Lebanon,55.6
Lesotho,38.3
Liberia,33.8
Libya,42.7
Lithuania,65.5
Luxembourg,64.5
Madagascar,36.4
Malawi,36.4
Malaysia,48.5
Maldives,36.8
Mali,26.0
Malta,63.2
Mauritania,32.7
Mauritius,50.2
Mexico,50.9
Mongolia,42.1
Morocco,43.0
Mozambique,32.5
Myanmar,42.0
Namibia,41.2
Nepal,35.1
Netherlands,71.3
New Zealand,69.5
Nicaragua,42.7
Niger,35.3
Nigeria,36.7
Norway,71.3
Oman,37.6
Pakistan,39.5
Panama,55.6
Papua New Guinea,37.4
Paraguay,57.8
Peru,43.7
Philippines,47.5
Poland,56.8
Portugal,52.4
Qatar,46.4
Republic of Korea,42.0
Republic of Moldova,60.5
Romania,56.1
Russian Federation,57.4
Rwanda,35.2
Saint Kitts and Nevis,57.6
Saint Lucia,56.6
Saint Vincent and the Grenadines,54.9
Samoa,48.7
Sao Tome and Principe,44.1
Saudi Arabia,39.9
Senegal,38.2
Serbia,55.8
Seychelles,56.0
Sierra Leone,29.7
Singapore,60.5
Slovakia,59.1
Slovenia,63.1
Solomon Islands,39.7
Somalia,33.9
South Africa,45.3
Spain,63.8
Sri Lanka,54.3
Sudan,38.4
Suriname,56.1
Sweden,71.4
Switzerland,69.7
Syrian Arab Republic,43.5
Tajikistan,46.9
Thailand,49.1
Timor-Leste,32.7
Togo,35.7
Tonga,49.8
Trinidad and Tobago,56.4
Tunisia,40.8
Turkey,46.3
Turkmenistan,43.4
Uganda,39.9
Ukraine,58.1
United Arab Emirates,50.2
United Kingdom,68.9
United Republic of Tanzania,35.3
United States of America,68.2
Uruguay,66.7
Uzbekistan,55.0
Vanuatu,45.6
Venezuela (Bolivarian Republic of),55.5
Viet Nam,40.0
Yemen,27.7
Zambia,41.2
Zimbabwe,44.3
